window_name,window_family,case,n_modes,n_cut,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_disc_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_disc_coh,p00_at_beta2,p00_at_beta8
center_d0.30,centered,m3c4,3,4,0.6000000000000001,0.7,1.3,0.0,0.8613755316556764,0.015788916459567363,0.136942807744803,0.15176914694687824,9.317946554625598e-17,5.4264413813099763e-17,4.830781503243907e-17,0.21942742715045863,0.10376269705973067
center_d0.30,centered,m4c6,4,6,0.6000000000000001,0.7,1.3,0.09999999999999998,0.8613755316556764,0.011406187334307852,0.14545961903822602,0.1564354632604296,5.1764320269086076e-17,2.03847510166768e-17,1.90802886969914e-17,0.21269248656194506,0.0906327051098877
center_d0.30,centered,m4c5,4,5,0.6000000000000001,0.7,1.3,0.09999999999999998,0.8613755316556764,0.011325754214003156,0.1454477445987095,0.15643591217162173,5.924923057391523e-17,3.0822382471811994e-17,2.8246005229735334e-17,0.2121731497403305,0.0906320263451843
center_d0.30,centered,m4c4,4,4,0.6000000000000001,0.7,1.3,0.09999999999999998,0.8613755316556764,0.011097849219803908,0.1454290391844055,0.15645643430138198,5.726887858364988e-17,2.4540686754450406e-17,2.1378161837067722e-17,0.21065583978289623,0.09061207274844976
center_d0.15,centered,m4c6,4,6,0.29999999999999993,0.85,1.15,0.04999999999999982,0.8862601683709552,0.007393541195903446,0.1456727898030512,0.15868400681572897,1.0011467161445205e-17,3.423879791502492e-17,3.705596780035595e-17,0.1723473399406022,0.042299814326218446
center_d0.15,centered,m4c5,4,5,0.29999999999999993,0.85,1.15,0.04999999999999982,0.8862601683709552,0.007373482414706074,0.14567086315913108,0.15868428723698788,1.0911925977840613e-17,2.830753317876015e-17,3.1047280861442805e-17,0.1721878473813333,0.04229980679577398
center_d0.15,centered,m4c4,4,4,0.29999999999999993,0.85,1.15,0.04999999999999982,0.8862601683709552,0.007310296605231221,0.14566527732504075,0.15868581923432387,9.829877519358329e-18,3.0374222269485777e-17,3.304296883072817e-17,0.1716201018744315,0.042299180231904446
center_d0.15,centered,m3c6,3,6,0.29999999999999993,0.85,1.15,0.0,0.8862601683709552,0.008390000061972349,0.1421770057136238,0.1605698148296577,2.0900279951998973e-17,2.067743524112839e-17,2.3592901938532044e-17,0.17760805986565037,0.04793991842316025
center_d0.15,centered,m3c5,3,5,0.29999999999999993,0.85,1.15,0.0,0.8862601683709552,0.008342736692014838,0.14217311894710244,0.16057015081611786,2.8650952480324806e-17,2.1026121842012224e-17,2.1728648953912403e-17,0.17741121551233954,0.04793987727368881
center_d0.15,centered,m3c4,3,4,0.29999999999999993,0.85,1.15,0.0,0.8862601683709552,0.008189952001956085,0.1421623385297009,0.1605733585732147,2.3654859566259715e-17,2.0829512525305314e-17,2.2898088938374406e-17,0.17672730046771137,0.04793755180805949
center_d0.15,centered,m2c6,2,6,0.29999999999999993,0.85,1.15,0.1499999999999999,0.8862601683709552,0.02278536059635888,0.13228748610404692,0.16183726048959474,3.7917959024077136e-17,2.1773663043535216e-17,1.913184289579368e-17,0.1929806044354822,0.0654325180258828
center_d0.15,centered,m2c5,2,5,0.29999999999999993,0.85,1.15,0.1499999999999999,0.8862601683709552,0.022708411585109813,0.13227291876764993,0.16183834113227635,4.577363642668418e-17,2.9546822505455836e-17,2.500282416045867e-17,0.19264502900312347,0.06543161413956233
center_d0.15,centered,m2c4,2,4,0.29999999999999993,0.85,1.15,0.1499999999999999,0.8862601683709552,0.022439661916513483,0.13223881685506209,0.1618609848488291,2.696298508035712e-17,2.3553820530889533e-17,2.6035906860935504e-17,0.19155201730373106,0.06540638184729751
